,0,1,2,3,4,5,6,7,8,9,10,11
0,100.0,80.0,60.0,41.0,22.0,4.0,,,,,,
1,100.0,81.0,62.0,44.0,26.0,9.0,,,,,,
2,100.0,82.0,64.0,47.0,30.0,13.0,,,,,,
3,100.0,83.0,66.0,49.0,33.0,17.0,,,,,,
4,100.0,83.0,67.0,51.0,36.0,21.0,6.0,,,,,
5,100.0,84.0,68.0,54.0,39.0,24.0,10.0,,,,,
6,100.0,85.0,70.0,55.0,41.0,28.0,14.0,,,,,
7,100.0,85.0,71.0,57.0,44.0,31.0,18.0,5.0,,,,
8,100.0,86.0,72.0,59.0,46.0,33.0,21.0,9.0,,,,
9,100.0,87.0,73.0,61.0,48.0,36.0,24.0,13.0,,,,
10,100.0,87.0,74.0,62.0,50.0,39.0,27.0,16.0,6.0,,,
11,100.0,87.0,75.0,64.0,52.0,41.0,30.0,20.0,9.0,,,
12,100.0,88.0,76.0,65.0,54.0,43.0,33.0,23.0,13.0,3.0,,
13,100.0,88.0,77.0,66.0,55.0,45.0,35.0,25.0,16.0,7.0,,
14,100.0,89.0,78.0,67.0,57.0,47.0,37.0,28.0,19.0,10.0,,
15,100.0,89.0,78.0,68.0,58.0,49.0,39.0,30.0,21.0,13.0,,
16,100.0,89.0,79.0,69.0,60.0,50.0,41.0,33.0,24.0,16.0,,
17,100.0,90.0,80.0,70.0,61.0,52.0,43.0,35.0,26.0,18.0,3.0,
18,100.0,90.0,80.0,71.0,62.0,53.0,45.0,37.0,29.0,21.0,6.0,
19,100.0,90.0,81.0,72.0,63.0,55.0,46.0,38.0,31.0,23.0,9.0,
20,100.0,91.0,81.0,73.0,64.0,56.0,48.0,40.0,33.0,26.0,12.0,
21,100.0,91.0,82.0,73.0,65.0,57.0,49.0,42.0,35.0,28.0,14.0,
22,100.0,91.0,82.0,74.0,66.0,58.0,51.0,43.0,36.0,30.0,17.0,
23,100.0,91.0,83.0,75.0,67.0,59.0,52.0,45.0,38.0,31.0,19.0,
24,100.0,91.0,83.0,75.0,68.0,60.0,53.0,46.0,40.0,33.0,21.0,
25,100.0,92.0,84.0,76.0,68.0,61.0,54.0,48.0,41.0,35.0,23.0,
26,100.0,92.0,84.0,76.0,69.0,62.0,55.0,49.0,42.0,36.0,25.0,
27,100.0,92.0,84.0,77.0,70.0,63.0,56.0,50.0,44.0,38.0,26.0,
28,100.0,92.0,85.0,77.0,71.0,64.0,57.0,51.0,45.0,39.0,28.0,
29,100.0,92.0,85.0,78.0,71.0,64.0,58.0,52.0,46.0,40.0,30.0,
30,100.0,93.0,85.0,78.0,72.0,65.0,59.0,53.0,47.0,42.0,31.0,
